name,gcode,r3_orbit,phi_sym,same_phi,cable_arr_poly,same_cable_arr_poly,outPoly,same_outpoly
5.23,O1O2O3O4O5U3U5U4U1U2,{'O1O2O3O4O5U3U5U4U1U2'},"[-2, -1, 1, 1, 1, -1, 1, 1, 2, 1, 1, 1, -1, -1, 0]","['5.23', '6.970']",-256*K1**4 + 128*K1**3*K2*K3 + 224*K1**2*K2**3 - 1392*K1**2*K2**2 - 32*K1**2*K2*K4 + 1432*K1**2*K2 - 256*K1**2*K3**2 - 768*K1**2 + 256*K1*K2**3*K3 - 512*K1*K2**2*K3 - 64*K1*K2**2*K5 + 1536*K1*K2*K3 + 264*K1*K3*K4 + 8*K1*K4*K5 - 32*K2**6 + 64*K2**4*K4 - 520*K2**4 - 32*K2**3*K6 - 400*K2**2*K3**2 - 16*K2**2*K4**2 + 416*K2**2*K4 - 446*K2**2 + 184*K2*K3*K5 + 16*K2*K4*K6 - 340*K3**2 - 70*K4**2 - 12*K5**2 - 2*K6**2 + 620,['5.23'],t^{6} + 26 t^{4} + 24 t^{2} + 1,['5.23']
5.24,O1O2O3O4O5U4U5U3U1U2,"{'O1O2O3O4U3O5U4U5U1U2', 'O1O2O3O4O5U4U5U3U1U2', 'O1O2O3O4U3U4U5U1O5U2'}","[-1, -1, 0, 1, 1, -1, 0, 1, 1, 1, 1, 1, 0, 1, 1]","['5.24', '6.971', '7.22878', '7.42721']",-256*K1**4 - 192*K1**2*K2**2 + 352*K1**2*K2 - 48*K1**2 + 192*K1*K2*K3 - 48*K2**4 + 48*K2**2*K4 - 112*K2**2 - 48*K3**2 - 12*K4**2 + 122,['5.24'],t^{6} + 12 t^{4} + 11 t^{2},"['5.24', '5.89', '5.104', '6.971', '7.9322', '7.22878', '7.39897', '7.42721', '7.44275']"
5.25,O1O2O3O4U1O5U2U4U5U3,{'O1O2O3O4U1O5U2U4U5U3'},"[-3, -2, 1, 2, 2, 0, 2, 2, 3, 2, 1, 2, 0, 0, -1]",['5.25'],-144*K1**4 + 64*K1**3*K2*K3 - 96*K1**3*K3 - 640*K1**2*K2**2 - 96*K1**2*K2*K4 + 1592*K1**2*K2 - 80*K1**2*K3**2 - 1592*K1**2 - 96*K1*K2**2*K3 + 1352*K1*K2*K3 + 264*K1*K3*K4 + 32*K1*K4*K5 - 24*K2**4 - 32*K2**2*K3**2 - 8*K2**2*K4**2 + 200*K2**2*K4 - 1142*K2**2 + 48*K2*K3*K5 + 8*K2*K4*K6 - 544*K3**2 - 182*K4**2 - 32*K5**2 - 2*K6**2 + 1148,['5.25'],t^{6} + 57 t^{4} + 32 t^{2} + 1,"['5.10', '5.25', '7.21797']"
5.26,O1O2O3O4U1O5U3U4U5U2,"{'O1O2O3O4U1U2O5U4U3U5', 'O1O2O3O4U1O5U3U4U5U2'}","[-3, -1, 1, 1, 2, 1, 1, 2, 3, 0, 1, 1, 0, -1, 0]",['5.26'],32*K1**2*K2**3 - 256*K1**2*K2**2 + 288*K1**2*K2 - 264*K1**2 + 32*K1*K2**3*K3 + 264*K1*K2*K3 + 8*K1*K3*K4 - 32*K2**6 + 32*K2**4*K4 - 232*K2**4 - 32*K2**2*K3**2 - 8*K2**2*K4**2 + 144*K2**2*K4 - 72*K2**2 + 8*K2*K3*K5 - 80*K3**2 - 26*K4**2 + 192,['5.26'],t^{6} + 48 t^{4} + 20 t^{2},['5.26']
5.27,O1O2O3O4U1O5U3U5U4U2,{'O1O2O3O4U1O5U3U5U4U2'},"[-3, -1, 1, 1, 2, 1, 1, 3, 2, 1, 2, 2, -1, 0, 1]",['5.27'],256*K1**4*K2 - 864*K1**4 + 64*K1**3*K2*K3 - 256*K1**3*K3 + 160*K1**2*K2**3 - 880*K1**2*K2**2 + 64*K1**2*K2*K3**2 + 2168*K1**2*K2 - 160*K1**2*K3**2 - 1328*K1**2 - 256*K1*K2**2*K3 - 32*K1*K2*K3*K4 + 1352*K1*K2*K3 + 168*K1*K3*K4 - 152*K2**4 - 80*K2**2*K3**2 - 8*K2**2*K4**2 + 192*K2**2*K4 - 1030*K2**2 + 64*K2*K3*K5 + 8*K2*K4*K6 - 428*K3**2 - 74*K4**2 - 12*K5**2 - 2*K6**2 + 1064,['5.27'],t^{6} + 42 t^{4} + 16 t^{2} + 1,"['5.27', '7.20797']"
5.28,O1O2O3O4U1O5U4U3U5U2,{'O1O2O3O4U1O5U4U3U5U2'},"[-3, 0, 0, 1, 2, 1, 2, 1, 3, 0, 0, 0, 0, 1, -1]",['5.28'],96*K1**4*K2 - 192*K1**4 + 32*K1**2*K2**3 - 1152*K1**2*K2**2 - 64*K1**2*K2*K4 + 1368*K1**2*K2 - 896*K1**2 + 64*K1*K2**3*K3 - 64*K1*K2**2*K3 - 32*K1*K2**2*K5 + 1032*K1*K2*K3 + 48*K1*K3*K4 - 32*K2**6 + 32*K2**4*K4 - 296*K2**4 - 32*K2**2*K3**2 - 8*K2**2*K4**2 + 272*K2**2*K4 - 552*K2**2 + 16*K2*K3*K5 - 224*K3**2 - 58*K4**2 + 640,['5.28'],t^{6} + 43 t^{4} + 18 t^{2} + 1,['5.28']
5.29,O1O2O3O4U1O5U4U5U2U3,{'O1O2O3O4U1O5U4U5U2U3'},"[-3, 0, 0, 1, 2, 1, 2, 1, 3, 1, 1, 1, 1, 1, -1]",['5.29'],-32*K1**4 - 192*K1**2*K2**4 + 576*K1**2*K2**3 - 1600*K1**2*K2**2 + 1656*K1**2*K2 - 1100*K1**2 + 192*K1*K2**3*K3 - 448*K1*K2**2*K3 + 1240*K1*K2*K3 + 24*K1*K3*K4 - 32*K2**6 + 32*K2**4*K4 - 488*K2**4 - 112*K2**2*K3**2 - 8*K2**2*K4**2 + 336*K2**2*K4 - 504*K2**2 + 32*K2*K3*K5 - 236*K3**2 - 18*K4**2 + 680,['5.29'],t^{6} + 35 t^{4} + 33 t^{2} + 1,['5.29']
5.30,O1O2O3O4U1O5U4U5U3U2,"{'O1O2O3O4U1O5U4U5U3U2', 'O1O2O3O4U1U3O5U4U5U2'}","[-3, 0, 1, 1, 1, 1, 1, 2, 3, 1, 1, 1, -1, -1, 0]",['5.30'],-96*K1**4 + 32*K1**3*K2*K3 - 176*K1**2*K2**2 + 312*K1**2*K2 - 96*K1**2*K3**2 - 352*K1**2 + 520*K1*K2*K3 + 96*K1*K3*K4 - 48*K2**4 - 48*K2**2*K3**2 - 8*K2**2*K4**2 + 48*K2**2*K4 - 286*K2**2 + 32*K2*K3*K5 + 8*K2*K4*K6 - 220*K3**2 - 40*K4**2 - 4*K5**2 - 2*K6**2 + 326,['5.30'],t^{6} + 32 t^{4} + 21 t^{2},['5.30']
5.31,O1O2O3O4U2O5U1U4U5U3,{'O1O2O3O4U2O5U1U4U5U3'},"[-3, -2, 1, 2, 2, 0, 2, 2, 4, 1, 1, 2, 1, 1, -1]",['5.31'],-112*K1**4 + 128*K1**2*K2**3 - 576*K1**2*K2**2 + 888*K1**2*K2 - 80*K1**2*K3**2 - 848*K1**2 + 776*K1*K2*K3 + 136*K1*K3*K4 + 16*K1*K4*K5 - 184*K2**4 - 64*K2**2*K3**2 - 8*K2**2*K4**2 + 88*K2**2*K4 - 462*K2**2 + 64*K2*K3*K5 + 8*K2*K4*K6 - 304*K3**2 - 70*K4**2 - 24*K5**2 - 2*K6**2 + 628,['5.31'],t^{6} + 55 t^{4} + 23 t^{2},['5.31']
5.32,O1O2O3O4U2O5U1U5U3U4,{'O1O2O3O4U2O5U1U5U3U4'},"[-3, -2, 1, 1, 3, 0, 1, 3, 4, 0, 1, 2, 0, 0, 1]",['5.32'],-192*K1**2*K2**4 + 512*K1**2*K2**3 - 1488*K1**2*K2**2 - 64*K1**2*K2*K4 + 1360*K1**2*K2 - 936*K1**2 + 288*K1*K2**3*K3 + 32*K1*K2**2*K3*K4 - 352*K1*K2**2*K3 - 32*K1*K2**2*K5 + 1168*K1*K2*K3 + 48*K1*K3*K4 - 64*K2**6 + 64*K2**4*K4 - 632*K2**4 - 144*K2**2*K3**2 - 48*K2**2*K4**2 + 520*K2**2*K4 - 408*K2**2 + 32*K2*K3*K5 + 8*K2*K4*K6 - 232*K3**2 - 86*K4**2 + 644,['5.32'],t^{6} + 56 t^{4} + 43 t^{2} + 1,"['5.32', '7.3755']"
5.33,O1O2O3O4U2O5U1U5U4U3,{'O1O2O3O4U2O5U1U5U4U3'},"[-3, -2, 1, 2, 2, 0, 1, 3, 4, 0, 1, 2, 0, 0, 0]",['5.33'],-64*K1**4 + 32*K1**3*K2*K3 + 32*K1**2*K2**3 - 448*K1**2*K2**2 + 440*K1**2*K2 - 64*K1**2*K3**2 - 392*K1**2 + 64*K1*K2**3*K3 + 600*K1*K2*K3 + 64*K1*K3*K4 - 32*K2**6 + 32*K2**4*K4 - 296*K2**4 - 96*K2**2*K3**2 - 8*K2**2*K4**2 + 168*K2**2*K4 - 176*K2**2 + 64*K2*K3*K5 - 216*K3**2 - 42*K4**2 - 16*K5**2 + 352,['5.33'],t^{6} + 53 t^{4} + 44 t^{2},['5.33']
5.34,O1O2O3O4U2O5U4U5U1U3,{'O1O2O3O4U2O5U4U5U1U3'},"[-2, -1, 0, 1, 2, -1, 1, 2, 2, 1, 1, 1, 0, 1, 1]","['5.34', '7.35001']",-624*K1**4 + 32*K1**3*K2*K3 - 224*K1**3*K3 - 208*K1**2*K2**2 + 1624*K1**2*K2 - 176*K1**2*K3**2 - 1260*K1**2 + 1064*K1*K2*K3 + 240*K1*K3*K4 - 16*K2**4 + 24*K2**2*K4 - 896*K2**2 - 468*K3**2 - 88*K4**2 + 974,['5.34'],t^{6} + 25 t^{4} + 13 t^{2} + 1,"['5.34', '7.35001']"
5.35,O1O2O3O4U3O5U1U5U2U4,{'O1O2O3O4U3O5U1U5U2U4'},"[-3, -1, 0, 1, 3, 0, 2, 1, 4, 0, 0, 1, 0, 2, 0]",['5.35'],-160*K1**4 + 64*K1**3*K2*K3 - 288*K1**2*K2**2 + 416*K1**2*K2 - 192*K1**2*K3**2 - 464*K1**2 + 816*K1*K2*K3 + 192*K1*K3*K4 - 48*K2**4 - 96*K2**2*K3**2 - 16*K2**2*K4**2 + 64*K2**2*K4 - 412*K2**2 + 64*K2*K3*K5 + 16*K2*K4*K6 - 32*K3**4 + 16*K3**2*K6 - 328*K3**2 - 76*K4**2 - 8*K5**2 - 4*K6**2 + 474,['5.35'],t^{6} + 46 t^{4} + 29 t^{2},['5.35']
5.36,O1O2O3O4U3O5U1U5U4U2,"{'O1O2O3O4U3O5U1U5U4U2', 'O1O2O3U2O4O5U1U5U3U4'}","[-3, -1, 1, 1, 2, 0, 1, 3, 3, 0, 1, 1, 0, 0, 1]",['5.36'],96*K1**4*K2 - 512*K1**4 + 32*K1**3*K2*K3 - 368*K1**2*K2**2 + 712*K1**2*K2 - 32*K1**2*K3**2 - 264*K1**2 + 456*K1*K2*K3 + 56*K1*K3*K4 - 56*K2**4 - 16*K2**2*K3**2 - 8*K2**2*K4**2 + 128*K2**2*K4 - 414*K2**2 + 48*K2*K3*K5 + 8*K2*K4*K6 - 188*K3**2 - 74*K4**2 - 20*K5**2 - 2*K6**2 + 416,['5.36'],t^{6} + 38 t^{4} + 12 t^{2},['5.36']
5.37,O1O2O3O4U1U2O5U3U4U5,{'O1O2O3O4U1U2O5U3U4U5'},"[-3, -1, 0, 2, 2, 1, 1, 2, 3, 0, 1, 1, 1, 0, -1]",['5.37'],-224*K1**4 - 32*K1**3*K3 - 256*K1**2*K2**4 + 928*K1**2*K2**3 - 2112*K1**2*K2**2 - 64*K1**2*K2*K4 + 1744*K1**2*K2 - 864*K1**2 + 352*K1*K2**3*K3 - 416*K1*K2**2*K3 - 32*K1*K2**2*K5 + 1224*K1*K2*K3 + 8*K1*K3*K4 - 32*K2**6 + 32*K2**4*K4 - 848*K2**4 - 96*K2**2*K3**2 - 8*K2**2*K4**2 + 472*K2**2*K4 - 176*K2**2 + 8*K2*K3*K5 - 168*K3**2 - 28*K4**2 + 586,['5.37'],t^{6} + 51 t^{4} + 24 t^{2} + 1,['5.37']
5.38,O1O2O3O4U1U2O5U4U5U3,"{'O1O2O3O4U1U2U3O5U4U5', 'O1O2O3O4U1U2O5U4U5U3'}","[-3, -1, 1, 1, 2, 1, 1, 2, 3, 1, 1, 2, -1, -1, 1]",['5.38'],-192*K1**2*K2**4 + 256*K1**2*K2**3 - 400*K1**2*K2**2 + 304*K1**2*K2 - 264*K1**2 + 160*K1*K2**3*K3 + 232*K1*K2*K3 + 8*K1*K3*K4 - 32*K2**6 + 32*K2**4*K4 - 152*K2**4 - 48*K2**2*K3**2 - 8*K2**2*K4**2 + 40*K2**2*K4 - 40*K2**2 + 8*K2*K3*K5 - 64*K3**2 - 14*K4**2 + 172,['5.38'],t^{6} + 40 t^{4} + 17 t^{2},['5.38']
5.39,O1O2O3O4U1U3O5U4U2U5,{'O1O2O3O4U1U3O5U4U2U5'},"[-3, 0, 0, 1, 2, 0, 2, 2, 3, 1, 0, 0, 0, 1, 0]",['5.39'],-16*K1**4 + 32*K1**3*K2*K3 - 64*K1**3*K3 - 496*K1**2*K2**2 - 32*K1**2*K2*K4 + 1000*K1**2*K2 - 48*K1**2*K3**2 - 1076*K1**2 - 32*K1*K2**2*K3 + 1000*K1*K2*K3 + 112*K1*K3*K4 + 32*K1*K4*K5 - 184*K2**4 - 64*K2**2*K3**2 - 8*K2**2*K4**2 + 232*K2**2*K4 - 726*K2**2 + 80*K2*K3*K5 + 8*K2*K4*K6 - 388*K3**2 - 118*K4**2 - 40*K5**2 - 2*K6**2 + 796,['5.39'],t^{6} + 41 t^{4} + 24 t^{2} + 1,['5.39']
5.40,O1O2O3O4U1U4O5U2U3U5,{'O1O2O3O4U1U4O5U2U3U5'},"[-3, -1, 1, 1, 2, 0, 1, 3, 3, 1, 2, 1, 0, 0, 1]",['5.40'],-192*K1**2*K2**4 + 288*K1**2*K2**3 - 1008*K1**2*K2**2 - 128*K1**2*K2*K4 + 1200*K1**2*K2 - 944*K1**2 + 352*K1*K2**3*K3 + 96*K1*K2**2*K3*K4 - 288*K1*K2**2*K3 - 32*K1*K2**2*K5 + 928*K1*K2*K3 + 96*K1*K3*K4 - 32*K2**6 + 64*K2**4*K4 - 344*K2**4 - 176*K2**2*K3**2 - 72*K2**2*K4**2 + 328*K2**2*K4 - 472*K2**2 + 16*K2*K3*K5 - 208*K3**2 - 78*K4**2 + 604,['5.40'],t^{6} + 40 t^{4} + 35 t^{2} + 1,['5.40']
5.41,O1O2O3O4U1U4O5U2U5U3,{'O1O2O3O4U1U4O5U2U5U3'},"[-3, -1, 1, 1, 2, 0, 3, 3, 2, 1, 2, 1, 0, 1, 1]",['5.41'],160*K1**4*K2 - 384*K1**4 + 32*K1**3*K2*K3 - 96*K1**3*K3 + 160*K1**2*K2**3 - 720*K1**2*K2**2 + 64*K1**2*K2*K3**2 + 1584*K1**2*K2 - 160*K1**2*K3**2 - 1280*K1**2 - 416*K1*K2**2*K3 - 64*K1*K2*K3*K4 + 1240*K1*K2*K3 + 352*K1*K3*K4 + 40*K1*K4*K5 - 184*K2**4 - 80*K2**2*K3**2 - 8*K2**2*K4**2 + 328*K2**2*K4 - 958*K2**2 + 88*K2*K3*K5 + 8*K2*K4*K6 - 484*K3**2 - 194*K4**2 - 36*K5**2 - 2*K6**2 + 1008,['5.41'],t^{6} + 36 t^{4} + 23 t^{2} + 1,['5.41']
5.42,O1O2O3O4U1U4O5U3U2U5,{'O1O2O3O4U1U4O5U3U2U5'},"[-3, 0, 0, 1, 2, 0, 1, 3, 3, 0, 1, 0, 1, 1, 1]","['5.42', '7.28336']",-64*K1**4 + 32*K1**3*K2*K3 - 368*K1**2*K2**2 - 160*K1**2*K2*K4 + 832*K1**2*K2 - 64*K1**2*K3**2 - 872*K1**2 - 160*K1*K2**2*K3 + 880*K1*K2*K3 + 328*K1*K3*K4 - 8*K2**4 - 48*K2**2*K3**2 - 72*K2**2*K4**2 + 352*K2**2*K4 - 798*K2**2 + 32*K2*K3*K5 + 40*K2*K4*K6 - 364*K3**2 - 230*K4**2 - 4*K5**2 - 2*K6**2 + 716,['5.42'],t^{6} + 37 t^{4} + 25 t^{2} + 1,['5.42']
5.43,O1O2O3O4U1U4O5U3U5U2,"{'O1O2O3O4U1U4O5U3U5U2', 'O1O2O3O4U1U4U2O5U3U5'}","[-3, 0, 1, 1, 1, 1, 1, 3, 3, 0, 0, 1, -1, 0, 0]",['5.43'],96*K1**4*K2 - 384*K1**4 + 32*K1**3*K2*K3 - 240*K1**2*K2**2 + 480*K1**2*K2 - 32*K1**2*K3**2 - 176*K1**2 + 304*K1*K2*K3 + 48*K1*K3*K4 - 16*K2**4 - 16*K2**2*K3**2 - 8*K2**2*K4**2 + 64*K2**2*K4 - 286*K2**2 + 32*K2*K3*K5 + 8*K2*K4*K6 - 132*K3**2 - 48*K4**2 - 12*K5**2 - 2*K6**2 + 286,['5.43'],t^{6} + 30 t^{4} + 17 t^{2},['5.43']
5.44,O1O2O3O4U2U1O5U3U5U4,{'O1O2O3O4U2U1O5U3U5U4'},"[-3, -1, 0, 2, 2, 0, 2, 2, 3, 1, 1, 1, 1, 2, 0]",['5.44'],96*K1**4*K2 - 512*K1**4 - 496*K1**2*K2**2 + 848*K1**2*K2 - 128*K1**2*K3**2 - 408*K1**2 + 600*K1*K2*K3 + 232*K1*K3*K4 + 24*K1*K4*K5 - 16*K2**4 - 16*K2**2*K3**2 - 8*K2**2*K4**2 + 72*K2**2*K4 - 430*K2**2 + 40*K2*K3*K5 + 8*K2*K4*K6 - 252*K3**2 - 128*K4**2 - 28*K5**2 - 2*K6**2 + 502,['5.44'],t^{6} + 43 t^{4} + 20 t^{2},['5.44']
5.45,O1O2O3O4U2U1O5U4U5U3,"{'O1O2O3O4U2U1O5U4U5U3', 'O1O2O3O4U2U1U3O5U4U5'}","[-2, -2, 1, 1, 2, 0, 1, 1, 2, 1, 2, 3, -1, -1, 1]",['5.45'],-64*K1**4 + 32*K1**3*K2*K3 - 128*K1**2*K2**2 + 208*K1**2*K2 - 64*K1**2*K3**2 - 208*K1**2 + 288*K1*K2*K3 + 56*K1*K3*K4 - 8*K2**4 + 8*K2**2*K4 - 168*K2**2 - 120*K3**2 - 18*K4**2 + 184,['5.45'],t^{6} + 37 t^{4} + 26 t^{2},"['5.45', '7.25218']"
5.46,O1O2O3O4U2U3O5U1U5U4,{'O1O2O3O4U2U3O5U1U5U4'},"[-3, -1, 0, 2, 2, 0, 1, 2, 4, 0, 0, 1, 1, 1, -1]",['5.46'],-16*K1**4 - 192*K1**2*K2**4 + 352*K1**2*K2**3 - 704*K1**2*K2**2 + 680*K1**2*K2 - 16*K1**2*K3**2 - 620*K1**2 + 160*K1*K2**3*K3 + 496*K1*K2*K3 + 48*K1*K3*K4 + 16*K1*K4*K5 - 32*K2**6 + 32*K2**4*K4 - 224*K2**4 - 48*K2**2*K3**2 - 8*K2**2*K4**2 + 64*K2**2*K4 - 200*K2**2 + 8*K2*K3*K5 - 156*K3**2 - 44*K4**2 - 8*K5**2 + 410,['5.46'],t^{6} + 43 t^{4} + 19 t^{2},['5.46']
5.47,O1O2O3O4U2U3O5U4U1U5,"{'O1O2O3O4U2U3O5U4U1U5', 'O1O2O3U1O4U3O5U2U4U5'}","[-2, -1, 0, 1, 2, -1, 1, 1, 3, 1, 0, 1, 0, 1, 0]","['5.47', '5.65', '7.29824']",-16*K1**4 + 96*K1**2*K2**3 - 304*K1**2*K2**2 + 448*K1**2*K2 - 16*K1**2*K3**2 - 428*K1**2 + 288*K1*K2*K3 + 32*K1*K3*K4 - 80*K2**4 + 24*K2**2*K4 - 200*K2**2 - 100*K3**2 - 16*K4**2 + 270,['5.47'],t^{6} + 31 t^{4} + 8 t^{2},['5.47']
5.48,O1O2O3O4U2U4O5U1U5U3,{'O1O2O3O4U2U4O5U1U5U3'},"[-2, -2, 1, 1, 2, -1, 1, 1, 3, 0, 1, 2, 0, 0, 0]","['5.48', '7.32766']",160*K1**4*K2 - 464*K1**4 + 32*K1**3*K2*K3 - 288*K1**3*K3 - 432*K1**2*K2**2 - 32*K1**2*K2*K4 + 1744*K1**2*K2 - 176*K1**2*K3**2 - 1512*K1**2 - 192*K1*K2**2*K3 - 96*K1*K2*K3*K4 + 1384*K1*K2*K3 + 384*K1*K3*K4 + 72*K1*K4*K5 - 24*K2**4 - 48*K2**2*K3**2 - 16*K2**2*K4**2 + 248*K2**2*K4 - 1180*K2**2 + 136*K2*K3*K5 + 32*K2*K4*K6 - 604*K3**2 - 234*K4**2 - 68*K5**2 - 12*K6**2 + 1184,['5.48'],t^{6} + 31 t^{4} + 15 t^{2} + 1,['5.48']
5.49,O1O2O3O4U2U4O5U3U1U5,{'O1O2O3O4U2U4O5U3U1U5'},"[-2, -1, 0, 1, 2, -1, 0, 2, 3, 0, 1, 1, 1, 1, 1]","['5.49', '7.27100']",256*K1**4*K2 - 816*K1**4 + 64*K1**3*K2*K3 - 656*K1**2*K2**2 + 1432*K1**2*K2 - 208*K1**2*K3**2 - 32*K1**2*K4**2 - 968*K1**2 + 1136*K1*K2*K3 + 264*K1*K3*K4 + 56*K1*K4*K5 - 64*K2**4 - 112*K2**2*K3**2 - 48*K2**2*K4**2 + 208*K2**2*K4 - 980*K2**2 + 104*K2*K3*K5 + 32*K2*K4*K6 - 476*K3**2 - 180*K4**2 - 44*K5**2 - 4*K6**2 + 1034,['5.49'],t^{6} + 27 t^{4} + 19 t^{2},"['5.49', '7.35704', '7.40541']"
5.50,O1O2O3O4U3U1O5U4U5U2,"{'O1O2O3U4U1O5U3U5O4U2', 'O1O2O3O4U3U1O5U4U5U2'}","[-2, -1, 1, 1, 1, 0, 1, 2, 2, 1, 1, 1, -1, -1, 0]",['5.50'],-576*K1**4 - 160*K1**2*K2**2 + 624*K1**2*K2 + 8*K1**2 + 128*K1*K2*K3 - 8*K2**4 + 8*K2**2*K4 - 152*K2**2 - 24*K3**2 - 2*K4**2 + 152,['5.50'],t^{6} + 22 t^{4} + 7 t^{2},"['5.50', '7.35061']"
5.51,O1O2O3O4U3U2O5U1U5U4,{'O1O2O3O4U3U2O5U1U5U4'},"[-3, -1, 1, 1, 2, 0, 1, 2, 4, 0, 0, 1, 0, 0, 0]",['5.51'],-352*K1**4 + 32*K1**3*K2*K3 - 192*K1**3*K3 - 432*K1**2*K2**2 - 160*K1**2*K2*K4 + 1360*K1**2*K2 - 96*K1**2*K3**2 - 1208*K1**2 - 32*K1*K2*K3*K4 + 1224*K1*K2*K3 + 312*K1*K3*K4 + 56*K1*K4*K5 - 40*K2**4 - 16*K2**2*K3**2 - 8*K2**2*K4**2 + 232*K2**2*K4 - 966*K2**2 + 88*K2*K3*K5 + 8*K2*K4*K6 - 524*K3**2 - 222*K4**2 - 60*K5**2 - 2*K6**2 + 996,['5.51'],t^{6} + 38 t^{4} + 18 t^{2} + 1,['5.51']
5.52,O1O2O3O4U3U2O5U4U1U5,{'O1O2O3O4U3U2O5U4U1U5'},"[-2, -1, 1, 1, 1, 0, 1, 2, 2, 0, 0, 1, -1, -1, 0]",['5.52'],96*K1**4*K2 - 544*K1**4 - 256*K1**3*K3 - 448*K1**2*K2**2 - 96*K1**2*K2*K4 + 1560*K1**2*K2 - 32*K1**2*K3**2 - 1120*K1**2 + 1016*K1*K2*K3 + 208*K1*K3*K4 - 40*K2**4 + 120*K2**2*K4 - 808*K2**2 - 384*K3**2 - 122*K4**2 + 848,['5.52'],t^{6} + 26 t^{4} + 13 t^{2} + 1,['5.52']
