name,gcode,r3_orbit,phi_sym,same_phi,cable_arr_poly,same_cable_arr_poly,outPoly,same_outpoly
5.53,O1O2O3O4U3U4O5U1U5U2,{'O1O2O3O4U3U4O5U1U5U2'},"[-2, -1, 1, 1, 1, -1, 1, 1, 2, 0, 1, 1, 0, 0, -1]","['5.53', '6.1537', '7.9821', '7.44029']",384*K1**4*K2 - 1216*K1**4 + 128*K1**3*K2*K3 - 64*K1**3*K3 + 512*K1**2*K2**3 - 2384*K1**2*K2**2 - 128*K1**2*K2*K4 + 2312*K1**2*K2 - 128*K1**2*K3**2 - 544*K1**2 + 256*K1*K2**3*K3 - 512*K1*K2**2*K3 - 96*K1*K2**2*K5 + 1760*K1*K2*K3 + 152*K1*K3*K4 + 8*K1*K4*K5 - 32*K2**6 + 64*K2**4*K4 - 632*K2**4 - 32*K2**3*K6 - 272*K2**2*K3**2 - 16*K2**2*K4**2 + 488*K2**2*K4 - 518*K2**2 + 136*K2*K3*K5 + 16*K2*K4*K6 - 292*K3**2 - 58*K4**2 - 12*K5**2 - 2*K6**2 + 720,['5.53'],t^{6} + 18 t^{4} + 18 t^{2} + 1,"['5.53', '6.1537', '7.9821', '7.44029']"
5.54,O1O2O3O4U3U4O5U2U1U5,{'O1O2O3O4U3U4O5U2U1U5'},"[-2, -1, 1, 1, 1, 0, 0, 1, 2, 1, 1, 1, -1, -1, 0]","['5.54', '6.1506', '7.22432']",384*K1**4*K2 - 800*K1**4 - 192*K1**3*K3 + 512*K1**2*K2**3 - 1584*K1**2*K2**2 - 256*K1**2*K2*K4 + 1624*K1**2*K2 - 32*K1**2*K3**2 - 600*K1**2 + 160*K1*K2**3*K3 - 224*K1*K2**2*K3 - 64*K1*K2**2*K5 - 64*K1*K2*K3*K4 + 1216*K1*K2*K3 + 144*K1*K3*K4 + 32*K1*K4*K5 - 32*K2**6 + 64*K2**4*K4 - 488*K2**4 - 112*K2**2*K3**2 - 48*K2**2*K4**2 + 368*K2**2*K4 - 366*K2**2 + 88*K2*K3*K5 + 16*K2*K4*K6 - 212*K3**2 - 78*K4**2 - 20*K5**2 - 2*K6**2 + 564,['5.54'],t^{6} + 18 t^{4} + 16 t^{2} + 1,"['5.54', '6.1506']"
5.55,O1O2O3O4U5U1O5U3U2U4,{'O1O2O3O4U5U1O5U3U2U4'},"[-3, 0, 0, 1, 2, 1, 2, 1, 3, 0, 1, 1, 1, 2, -1]","['5.55', '7.14395']",-64*K1**4 + 32*K1**3*K2*K3 - 384*K1**3*K3 - 112*K1**2*K2**2 + 1048*K1**2*K2 - 256*K1**2*K3**2 - 1112*K1**2 - 96*K1*K2**2*K3 - 64*K1*K2*K3*K4 + 1120*K1*K2*K3 + 288*K1*K3*K4 + 24*K1*K4*K5 - 8*K2**4 - 16*K2**2*K3**2 - 8*K2**2*K4**2 + 96*K2**2*K4 - 694*K2**2 + 40*K2*K3*K5 + 8*K2*K4*K6 - 436*K3**2 - 102*K4**2 - 12*K5**2 - 2*K6**2 + 708,['5.55'],t^{6} + 37 t^{4} + 21 t^{2} + 1,['5.55']
5.56,O1O2O3O4U5U1O5U3U4U2,{'O1O2O3O4U5U1O5U3U4U2'},"[-2, -1, 0, 1, 2, -1, 2, 1, 3, 1, 1, 1, 0, 1, 0]",['5.56'],-800*K1**4 - 32*K1**3*K3 + 224*K1**2*K2**3 - 1344*K1**2*K2**2 - 32*K1**2*K2*K4 + 1920*K1**2*K2 - 632*K1**2 - 128*K1*K2**2*K3 + 976*K1*K2*K3 - 304*K2**4 + 216*K2**2*K4 - 496*K2**2 - 152*K3**2 - 20*K4**2 + 602,['5.56'],t^{6} + 27 t^{4} + 29 t^{2} + 1,['5.56']
5.57,O1O2O3O4U5U2O5U1U3U4,{'O1O2O3O4U5U2O5U1U3U4'},"[-3, -1, 1, 1, 2, 1, 1, 3, 2, 1, 2, 1, -1, 0, 0]",['5.57'],288*K1**2*K2**3 - 1248*K1**2*K2**2 - 32*K1**2*K2*K4 + 1168*K1**2*K2 - 880*K1**2 + 192*K1*K2**3*K3 - 192*K1*K2**2*K3 - 32*K1*K2**2*K5 + 1072*K1*K2*K3 + 16*K1*K3*K4 - 32*K2**6 + 64*K2**4*K4 - 552*K2**4 - 160*K2**2*K3**2 - 72*K2**2*K4**2 + 472*K2**2*K4 - 456*K2**2 + 48*K2*K3*K5 + 24*K2*K4*K6 - 240*K3**2 - 98*K4**2 + 648,['5.57'],t^{6} + 44 t^{4} + 80 t^{2} + 1,['5.57']
5.58,O1O2O3O4U5U2O5U1U4U3,{'O1O2O3O4U5U2O5U1U4U3'},"[-2, -2, 1, 1, 2, 0, 0, 2, 2, 1, 2, 3, -1, 1, 1]",['5.58'],96*K1**4*K2 - 192*K1**4 + 64*K1**2*K2**3 - 592*K1**2*K2**2 + 720*K1**2*K2 - 592*K1**2 + 32*K1*K2**3*K3 + 584*K1*K2*K3 + 128*K1*K3*K4 + 48*K1*K4*K5 - 32*K2**6 + 64*K2**4*K4 - 456*K2**4 - 80*K2**2*K3**2 - 48*K2**2*K4**2 + 432*K2**2*K4 - 382*K2**2 + 88*K2*K3*K5 + 16*K2*K4*K6 - 252*K3**2 - 206*K4**2 - 52*K5**2 - 2*K6**2 + 612,['5.58'],t^{6} + 39 t^{4} + 83 t^{2},['5.58']
5.59,O1O2O3O4U5U3O5U1U2U4,{'O1O2O3O4U5U3O5U1U2U4'},"[-3, 0, 0, 1, 2, 0, 2, 3, 3, 1, 0, 1, 1, 1, 1]",['5.59'],-16*K1**4 - 848*K1**2*K2**2 - 32*K1**2*K2*K4 + 1040*K1**2*K2 - 16*K1**2*K3**2 - 884*K1**2 + 192*K1*K2**3*K3 + 96*K1*K2**2*K3*K4 - 192*K1*K2**2*K3 - 64*K1*K2**2*K5 - 64*K1*K2*K3*K4 + 1120*K1*K2*K3 + 120*K1*K3*K4 + 8*K1*K4*K5 - 184*K2**4 - 224*K2**2*K3**2 - 72*K2**2*K4**2 + 264*K2**2*K4 - 582*K2**2 + 112*K2*K3*K5 + 16*K2*K4*K6 - 340*K3**2 - 78*K4**2 - 8*K5**2 - 2*K6**2 + 636,['5.59'],t^{6} + 41 t^{4} + 54 t^{2} + 1,['5.59']
5.60,O1O2O3O4U5U3O5U1U4U2,{'O1O2O3O4U5U3O5U1U4U2'},"[-2, -1, 0, 1, 2, 0, 1, 1, 2, 1, 0, 1, 1, 2, 0]","['5.60', '7.24295', '7.28302']",96*K1**4*K2 - 1088*K1**4 + 64*K1**3*K2*K3 - 192*K1**3*K3 - 864*K1**2*K2**2 - 224*K1**2*K2*K4 + 2264*K1**2*K2 - 160*K1**2*K3**2 - 1276*K1**2 - 96*K1*K2**2*K3 - 32*K1*K2**2*K5 - 64*K1*K2*K3*K4 + 1768*K1*K2*K3 + 368*K1*K3*K4 + 32*K1*K4*K5 - 64*K2**4 - 48*K2**2*K3**2 - 48*K2**2*K4**2 + 320*K2**2*K4 - 1268*K2**2 + 112*K2*K3*K5 + 32*K2*K4*K6 - 624*K3**2 - 200*K4**2 - 36*K5**2 - 4*K6**2 + 1230,['5.60'],t^{6} + 29 t^{4} + 18 t^{2} + 1,"['5.60', '7.28302']"
5.61,O1O2O3O4U5U3O5U2U1U4,{'O1O2O3O4U5U3O5U2U1U4'},"[-3, 0, 1, 1, 1, 0, 2, 3, 3, 1, 0, 1, 0, 0, 0]",['5.61'],96*K1**4*K2 - 320*K1**4 - 624*K1**2*K2**2 - 32*K1**2*K2*K4 + 1320*K1**2*K2 - 1144*K1**2 - 224*K1*K2**2*K3 - 32*K1*K2**2*K5 + 1144*K1*K2*K3 + 256*K1*K3*K4 + 64*K1*K4*K5 - 112*K2**4 - 48*K2**2*K3**2 - 8*K2**2*K4**2 + 312*K2**2*K4 - 950*K2**2 + 64*K2*K3*K5 + 8*K2*K4*K6 - 476*K3**2 - 216*K4**2 - 44*K5**2 - 2*K6**2 + 966,['5.61'],t^{6} + 36 t^{4} + 41 t^{2} + 1,['5.61']
5.62,O1O2O3U1O4U2O5U3U4U5,{'O1O2O3U1O4U2O5U3U4U5'},"[-2, -1, 1, 2, 0, 1, 3, 0, 1, 0]","['4.7', '5.62']",-128*K1**4 - 288*K1**2*K2**2 + 1056*K1**2*K2 - 952*K1**2 + 464*K1*K2*K3 + 16*K1*K3*K4 - 16*K2**4 + 16*K2**2*K4 - 584*K2**2 - 168*K3**2 - 12*K4**2 + 594,['5.62'],t^{5} + 25 t^{3} + 5 t,['5.62']
5.63,O1O2O3U1O4U3O5U4U2U5,"{'O1O2O3U1O4U3O5U4U2U5', 'O1O2O3U1U2O4O5U3U4U5'}","[-2, 0, 0, 0, 2, 0, 1, 1, 3, -1, 1, 0, 1, 1, 1]",['5.63'],-256*K2**4 + 176*K2**2*K4 + 80*K2**2 - 24*K4**2 + 22,['5.63'],t^{6} + 24 t^{4} + 27 t^{2},['5.63']
5.64,O1O2O3U1O4U3O5U4U5U2,{'O1O2O3U1O4U3O5U4U5U2'},"[-2, 0, 0, 1, 1, 1, 1, 0, 2, -1, 1, 0, 1, 1, -1]",['5.64'],128*K1**4*K2 - 464*K1**4 + 32*K1**3*K2*K3 - 160*K1**3*K3 - 688*K1**2*K2**2 - 32*K1**2*K2*K4 + 1840*K1**2*K2 - 16*K1**2*K3**2 - 1340*K1**2 + 960*K1*K2*K3 + 24*K1*K3*K4 - 56*K2**4 + 40*K2**2*K4 - 864*K2**2 - 284*K3**2 - 10*K4**2 + 888,['5.64'],t^{6} + 17 t^{4} + 14 t^{2} + 1,['5.64']
5.65,O1O2O3U2O4U1O5U4U5U3,{'O1O2O3U2O4U1O5U4U5U3'},"[-2, -1, 0, 1, 2, -1, 1, 1, 3, 1, 0, 1, 0, 1, 0]","['5.47', '5.65', '7.29824']",128*K1**4*K2 - 816*K1**4 + 64*K1**3*K2*K3 - 592*K1**2*K2**2 + 1312*K1**2*K2 - 80*K1**2*K3**2 - 588*K1**2 + 816*K1*K2*K3 + 32*K1*K3*K4 - 64*K2**4 + 112*K2**2*K4 - 688*K2**2 - 276*K3**2 - 44*K4**2 + 682,['5.65'],t^{6} + 25 t^{4} + 12 t^{2},"['5.65', '7.29824']"
5.66,O1O2O3U4O5U1O4U2U5U3,{'O1O2O3U4O5U1O4U2U5U3'},"[-2, -1, 0, 1, 2, 0, 1, 1, 2, 0, 2, 2, 0, 0, 1]",['5.66'],-176*K1**4 + 32*K1**3*K2*K3 - 32*K1**3*K3 - 400*K1**2*K2**2 - 64*K1**2*K2*K4 + 1216*K1**2*K2 - 48*K1**2*K3**2 - 1212*K1**2 - 32*K1*K2**2*K3 + 976*K1*K2*K3 + 136*K1*K3*K4 - 16*K2**4 + 80*K2**2*K4 - 848*K2**2 - 396*K3**2 - 72*K4**2 + 854,['5.66'],t^{6} + 27 t^{4} + 51 t^{2} + 1,['5.66']
5.67,O1O2O3U4O5U2O4U1U5U3,{'O1O2O3U4O5U2O4U1U5U3'},"[-2, -1, 0, 1, 2, 0, 1, 2, 1, 0, 2, 2, 0, 1, 0]","['5.67', '7.41652']",64*K1**4*K2 - 128*K1**4 + 192*K1**2*K2**3 - 992*K1**2*K2**2 + 1376*K1**2*K2 - 32*K1**2*K3**2 - 1128*K1**2 + 784*K1*K2*K3 + 96*K1*K3*K4 - 144*K2**4 + 32*K2**2*K4 - 560*K2**2 - 232*K3**2 - 44*K4**2 + 714,['5.67'],t^{6} + 27 t^{4} + 56 t^{2},"['5.67', '7.41652']"
5.68,O1O2O3U1O4U2U3O5U4U5,{'O1O2O3U1O4U2U3O5U4U5'},"[-2, -1, 1, 1, 1, 0, 1, 1, 3, 0, 1, 1, 1, -1, -1]",['5.68'],96*K1**2*K2**3 - 896*K1**2*K2**2 + 1120*K1**2*K2 - 816*K1**2 + 592*K1*K2*K3 - 72*K2**4 + 16*K2**2*K4 - 400*K2**2 - 96*K3**2 - 2*K4**2 + 456,['5.68'],t^{6} + 26 t^{4} + 16 t^{2} + 1,['5.68']
5.69,O1O2O3U1O4U3U2O5U4U5,{'O1O2O3U1O4U3U2O5U4U5'},"[-2, 0, 0, 1, 1, 0, 1, 1, 3, 0, -1, 0, 0, 0, -1]","['5.69', '7.37775']",96*K1**4*K2 - 192*K1**4 - 384*K1**2*K2**2 + 1032*K1**2*K2 - 800*K1**2 + 328*K1*K2*K3 - 8*K2**4 + 8*K2**2*K4 - 488*K2**2 - 80*K3**2 - 2*K4**2 + 488,['5.69'],t^{6} + 23 t^{4} + 10 t^{2} + 1,['5.69']
5.70,O1O2O3U1O4U3U4O5U2U5,"{'O1O2O3U4U2O5U3U1O4U5', 'O1O2O3U1O4U3U4O5U2U5'}","[-2, 0, 0, 1, 1, 0, 1, 2, 2, 1, 0, 0, 0, 1, 0]","['5.70', '7.37620', '7.39620', '7.45031']",32*K1**4*K2 - 320*K1**4 - 160*K1**2*K2**2 + 552*K1**2*K2 - 216*K1**2 + 152*K1*K2*K3 - 8*K2**4 + 8*K2**2*K4 - 208*K2**2 - 40*K3**2 - 2*K4**2 + 208,['5.70'],t^{6} + 17 t^{4} + 15 t^{2},"['5.70', '7.45031']"
5.71,O1O2O3U2O4U1U3O5U4U5,{'O1O2O3U2O4U1U3O5U4U5'},"[-2, -1, 1, 1, 1, 0, 1, 2, 2, 0, 1, 1, -1, -1, -1]",['5.71'],96*K1**4*K2 - 1184*K1**4 + 32*K1**3*K2*K3 - 96*K1**3*K3 + 96*K1**2*K2**3 - 1184*K1**2*K2**2 - 96*K1**2*K2*K4 + 2240*K1**2*K2 - 96*K1**2*K3**2 - 848*K1**2 - 96*K1*K2**2*K3 + 1360*K1*K2*K3 + 128*K1*K3*K4 - 152*K2**4 + 184*K2**2*K4 - 864*K2**2 - 352*K3**2 - 62*K4**2 + 892,['5.71'],t^{6} + 22 t^{4} + 12 t^{2} + 1,"['5.71', '5.87', '7.29804', '7.44240']"
5.72,O1O2O3U2O4U1U4O5U3U5,{'O1O2O3U2O4U1U4O5U3U5'},"[-2, -1, 1, 1, 1, 0, 1, 1, 3, 0, 1, 1, 0, 0, -1]",['5.72'],-992*K1**4 - 576*K1**2*K2**2 + 1712*K1**2*K2 - 496*K1**2 + 416*K1*K2*K3 - 72*K2**4 + 40*K2**2*K4 - 496*K2**2 - 64*K3**2 - 2*K4**2 + 528,['5.72'],t^{6} + 22 t^{4} + 18 t^{2} + 1,['5.72']
5.73,O1O2O3U2O4U5U3O5U1U4,{'O1O2O3U2O4U5U3O5U1U4'},"[-2, -1, 1, 1, 1, 0, 1, 2, 2, 1, 1, 2, 0, -1, 0]",['5.73'],96*K1**4*K2 - 1088*K1**4 + 32*K1**3*K2*K3 - 256*K1**3*K3 - 896*K1**2*K2**2 - 64*K1**2*K2*K4 + 2224*K1**2*K2 - 64*K1**2*K3**2 - 1008*K1**2 + 1328*K1*K2*K3 + 64*K1*K3*K4 - 120*K2**4 + 128*K2**2*K4 - 888*K2**2 - 368*K3**2 - 38*K4**2 + 916,['5.73'],t^{6} + 24 t^{4} + 19 t^{2} + 1,['5.73']
5.74,O1O2O3U4O5U3U2O4U1U5,{'O1O2O3U4O5U3U2O4U1U5'},"[-2, 0, 0, 1, 1, 0, 1, 2, 2, 0, 0, 1, 1, 1, -1]",['5.74'],96*K1**4*K2 - 512*K1**4 - 64*K1**3*K3 - 672*K1**2*K2**2 - 64*K1**2*K2*K4 + 1272*K1**2*K2 - 720*K1**2 + 872*K1*K2*K3 + 48*K1*K3*K4 - 8*K2**4 + 40*K2**2*K4 - 608*K2**2 - 256*K3**2 - 26*K4**2 + 600,['5.74'],t^{6} + 19 t^{4} + 18 t^{2} + 1,"['5.74', '7.37775']"
5.75,O1O2O3U1O4U3U5U4O5U2,{'O1O2O3U1O4U3U5U4O5U2'},"[-2, -1, 0, 1, 2, -1, 1, 1, 3, 0, 0, 1, 0, 1, -1]","['5.75', '7.37254']",256*K1**4*K2 - 896*K1**4 - 352*K1**2*K2**2 + 1392*K1**2*K2 - 32*K1**2*K3**2 - 664*K1**2 + 416*K1*K2*K3 + 32*K1*K3*K4 - 16*K2**4 + 16*K2**2*K4 - 624*K2**2 - 152*K3**2 - 12*K4**2 + 634,['5.75'],t^{6} + 35 t^{4} + 20 t^{2},['5.75']
5.76,O1O2O3U1O4U5U4U3O5U2,{'O1O2O3U1O4U5U4U3O5U2'},"[-2, -2, 1, 1, 2, -1, 1, 3, 3, 0, 2, 1, -1, 0, 1]",['5.76'],256*K1**4*K2 - 896*K1**4 + 64*K1**3*K2*K3 - 256*K1**3*K3 - 640*K1**2*K2**2 - 32*K1**2*K2*K4 + 2224*K1**2*K2 - 64*K1**2*K3**2 - 1360*K1**2 + 928*K1*K2*K3 + 48*K1*K3*K4 - 24*K2**4 + 24*K2**2*K4 - 968*K2**2 - 272*K3**2 - 14*K4**2 + 980,['5.76'],t^{6} + 41 t^{4} + 22 t^{2} + 1,['5.76']
5.77,O1O2O3U2O4U3U5U1O5U4,{'O1O2O3U2O4U3U5U1O5U4'},"[-2, 0, 0, 1, 1, 1, 1, 1, 2, -1, 1, 0, 1, 0, -1]",['5.77'],-1024*K1**4 - 64*K1**3*K3 - 96*K1**2*K2**2 + 1712*K1**2*K2 - 712*K1**2 + 288*K1*K2*K3 - 8*K2**4 + 8*K2**2*K4 - 648*K2**2 - 104*K3**2 - 2*K4**2 + 648,['5.77'],t^{6} + 17 t^{4} + 21 t^{2} + 1,['5.77']
5.78,O1O2O3U1U2O4O5U3U5U4,{'O1O2O3U1U2O4O5U3U5U4'},"[-2, 0, 0, 1, 1, 0, 1, 2, 2, 1, -1, 0, 0, 0, 0]",['5.78'],-448*K1**4 + 160*K1**2*K2**3 - 1120*K1**2*K2**2 + 1504*K1**2*K2 - 800*K1**2 - 160*K1*K2**2*K3 + 1088*K1*K2*K3 + 80*K1*K3*K4 - 232*K2**4 + 272*K2**2*K4 - 664*K2**2 - 304*K3**2 - 98*K4**2 + 720,['5.78'],t^{6} + 21 t^{4} + 16 t^{2} + 1,"['5.78', '7.34586']"
5.79,O1O2O3U1U2O4O5U4U3U5,{'O1O2O3U1U2O4O5U4U3U5'},"[-2, -1, 0, 1, 2, -1, 1, 2, 3, 0, 2, 1, 1, 1, 1]",['5.79'],-448*K1**2*K2**4 + 448*K1**2*K2**3 - 992*K1**2*K2**2 + 736*K1**2*K2 - 32*K1**2*K3**2 - 764*K1**2 + 576*K1*K2**3*K3 + 912*K1*K2*K3 + 96*K1*K3*K4 + 32*K1*K4*K5 - 32*K2**6 + 64*K2**4*K4 - 416*K2**4 - 304*K2**2*K3**2 - 48*K2**2*K4**2 + 112*K2**2*K4 - 190*K2**2 + 80*K2*K3*K5 + 16*K2*K4*K6 - 316*K3**2 - 84*K4**2 - 24*K5**2 - 2*K6**2 + 578,['5.79'],t^{6} + 23 t^{4} + 27 t^{2},"['5.79', '7.41148']"
5.80,O1O2O3U1U3O4O5U2U5U4,{'O1O2O3U1U3O4O5U2U5U4'},"[-2, -1, 1, 1, 1, -1, 2, 2, 2, 0, 1, 2, 0, 0, 0]",['5.80'],-224*K1**4 + 32*K1**3*K2*K3 - 128*K1**2*K2**2 + 360*K1**2*K2 - 128*K1**2*K3**2 - 416*K1**2 + 552*K1*K2*K3 + 288*K1*K3*K4 - 8*K2**4 + 16*K2**2*K4 - 328*K2**2 - 336*K3**2 - 122*K4**2 + 440,['5.80'],t^{6} + 20 t^{4} + 23 t^{2},['5.80']
5.81,O1O2O3U1U3O4O5U4U2U5,{'O1O2O3U1U3O4O5U4U2U5'},"[-2, -1, 0, 1, 2, 0, 2, 1, 1, 0, 0, 1, 0, 2, 0]",['5.81'],-160*K1**4 + 64*K1**3*K2*K3 - 256*K1**2*K2**2 + 432*K1**2*K2 - 160*K1**2*K3**2 - 536*K1**2 + 784*K1*K2*K3 + 208*K1*K3*K4 + 16*K1*K4*K5 - 16*K2**4 - 32*K2**2*K3**2 - 16*K2**2*K4**2 + 48*K2**2*K4 - 476*K2**2 + 48*K2*K3*K5 + 32*K2*K4*K6 - 384*K3**2 - 108*K4**2 - 24*K5**2 - 12*K6**2 + 546,['5.81'],t^{6} + 21 t^{4} + 29 t^{2},['5.81']
5.82,O1O2O3U1U3O4O5U4U5U2,{'O1O2O3U1U3O4O5U4U5U2'},"[-2, -1, 1, 1, 1, 0, 0, 1, 2, 1, 0, 1, 0, -1, 0]","['5.82', '6.1734', '7.13522', '7.32803']",384*K1**4*K2 - 1312*K1**4 + 128*K1**3*K2*K3 - 192*K1**3*K3 + 512*K1**2*K2**3 - 2192*K1**2*K2**2 - 256*K1**2*K2*K4 + 2312*K1**2*K2 - 160*K1**2*K3**2 - 544*K1**2 + 256*K1*K2**3*K3 - 320*K1*K2**2*K3 - 64*K1*K2**2*K5 - 64*K1*K2*K3*K4 + 1760*K1*K2*K3 + 152*K1*K3*K4 + 8*K1*K4*K5 - 32*K2**6 + 64*K2**4*K4 - 600*K2**4 - 240*K2**2*K3**2 - 48*K2**2*K4**2 + 456*K2**2*K4 - 518*K2**2 + 136*K2*K3*K5 + 16*K2*K4*K6 - 292*K3**2 - 58*K4**2 - 12*K5**2 - 2*K6**2 + 720,['5.82'],t^{6} + 16 t^{4} + 18 t^{2} + 1,"['5.82', '7.13522', '7.32803']"
5.83,O1O2O3U1U4O5O4U2U3U5,{'O1O2O3U1U4O5O4U2U3U5'},"[-2, -1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, -1, -1, 0]",['5.83'],-448*K1**2*K2**4 + 544*K1**2*K2**3 - 1232*K1**2*K2**2 + 880*K1**2*K2 - 600*K1**2 + 352*K1*K2**3*K3 + 712*K1*K2*K3 + 8*K1*K3*K4 - 192*K2**6 + 128*K2**4*K4 - 600*K2**4 - 80*K2**2*K3**2 - 16*K2**2*K4**2 + 288*K2**2*K4 + 24*K2**2 + 8*K2*K3*K5 - 144*K3**2 - 38*K4**2 + 404,['5.83'],t^{6} + 26 t^{4} + 15 t^{2},['5.83']
5.84,O1O2O3U1U4O5O4U3U2U5,{'O1O2O3U1U4O5O4U3U2U5'},"[-2, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1]",['5.84'],-64*K1**4 + 32*K1**3*K2*K3 + 64*K1**2*K2**3 - 592*K1**2*K2**2 + 1280*K1**2*K2 - 64*K1**2*K3**2 - 1104*K1**2 + 32*K1*K2**3*K3 - 448*K1*K2**2*K3 - 32*K1*K2**2*K5 + 1080*K1*K2*K3 + 176*K1*K3*K4 - 32*K2**6 + 64*K2**4*K4 - 296*K2**4 - 32*K2**3*K6 - 16*K2**2*K3**2 - 16*K2**2*K4**2 + 488*K2**2*K4 - 870*K2**2 + 24*K2*K3*K5 + 16*K2*K4*K6 - 364*K3**2 - 134*K4**2 - 4*K5**2 - 2*K6**2 + 812,['5.84'],t^{6} + 21 t^{4} + 13 t^{2} + 1,"['5.84', '6.1966']"
